"","Q1","Q2","Q3","Q4","Question","Response","score"
"430","4287","chick","dark yellow","Female","Q22","Strongly agree",5
"431","4287","chick","dark yellow","Female","Q23","Strongly agree",5
"432","4287","chick","dark yellow","Female","Q24","Strongly agree",5
"433","4287","chick","dark yellow","Female","Q26","Strongly agree",5
"434","4287","chick","dark yellow","Female","Q27","Strongly agree",5
"435","4287","chick","dark yellow","Female","Q28","Strongly agree",5
"436","4287","chick","dark yellow","Female","Q31","Strongly agree",5
"437","4287","chick","dark yellow","Female","Q32","Strongly agree",5
"438","4277","Balloon","Dark yellow ","Male","Q7","Not sure",3
"439","4277","Balloon","Dark yellow ","Male","Q8","Agree",4
"440","4277","Balloon","Dark yellow ","Male","Q9","Strongly agree",5
"441","4277","Balloon","Dark yellow ","Male","Q10","Agree",4
"442","4277","Balloon","Dark yellow ","Male","Q11","Strongly agree",5
"443","4277","Balloon","Dark yellow ","Male","Q12","Agree",4
"444","4277","Balloon","Dark yellow ","Male","Q13","Strongly agree",5
"445","4277","Balloon","Dark yellow ","Male","Q14","Agree",4
"446","4277","Balloon","Dark yellow ","Male","Q15","Agree",4
"447","4277","Balloon","Dark yellow ","Male","Q16","Disagree",2
"448","4277","Balloon","Dark yellow ","Male","Q17","Not sure",3
"449","4277","Balloon","Dark yellow ","Male","Q18","Agree",4
"450","4277","Balloon","Dark yellow ","Male","Q19","Agree",4
"451","4277","Balloon","Dark yellow ","Male","Q20","Agree",4
"452","4277","Balloon","Dark yellow ","Male","Q21","Disagree",2
"453","4277","Balloon","Dark yellow ","Male","Q22","Not sure",3
"454","4277","Balloon","Dark yellow ","Male","Q23","Agree",4
"455","4277","Balloon","Dark yellow ","Male","Q24","Not sure",3
"456","4277","Balloon","Dark yellow ","Male","Q26","Strongly agree",5
"457","4277","Balloon","Dark yellow ","Male","Q27","Strongly agree",5
"458","4277","Balloon","Dark yellow ","Male","Q28","Agree",4
"459","4277","Balloon","Dark yellow ","Male","Q29","Not sure",3
"460","4277","Balloon","Dark yellow ","Male","Q31","Strongly agree",5
"461","4277","Balloon","Dark yellow ","Male","Q32","Strongly agree",5
"462","4275","Airplane","dark yellow","Male","Q7","Strongly agree",5
"463","4275","Airplane","dark yellow","Male","Q8","Agree",4
"464","4275","Airplane","dark yellow","Male","Q9","Strongly agree",5
"465","4275","Airplane","dark yellow","Male","Q10","Agree",4
"466","4275","Airplane","dark yellow","Male","Q11","Strongly agree",5
"467","4275","Airplane","dark yellow","Male","Q12","Agree",4
"468","4275","Airplane","dark yellow","Male","Q13","Strongly agree",5
"469","4275","Airplane","dark yellow","Male","Q14","Strongly agree",5
"470","4275","Airplane","dark yellow","Male","Q15","Agree",4
"471","4275","Airplane","dark yellow","Male","Q16","Agree",4
"472","4275","Airplane","dark yellow","Male","Q17","Strongly agree",5
"473","4275","Airplane","dark yellow","Male","Q18","Strongly agree",5
"474","4275","Airplane","dark yellow","Male","Q19","Strongly agree",5
