"","ID","Gender","Certificate","Q27_1","Q27_2","Q27_3","Q27_4","Q27_5","Q27_6","Q27_7","Q27_8","Q27_9","Q27_10","Q27_11","Q27_12","Q27_13","Q27_14","Q27_15"
"357","4703","Female","American Diploma","4","1: Not at all true","3: Somewhat true","5: Very true","5: Very true","1: Not at all true","2","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true","1: Not at all true","1: Not at all true","1: Not at all true","2"
"358","4712","Female","American Diploma","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true"
"359","4702","Female","American Diploma","3: Somewhat true","2","3: Somewhat true","4","4","4","3: Somewhat true","3: Somewhat true","4","3: Somewhat true","4","3: Somewhat true","4","4","2"
"360","4691","Female","American Diploma","3: Somewhat true","5: Very true","3: Somewhat true","4","4","4","3: Somewhat true","5: Very true","5: Very true","2","4","1: Not at all true","5: Very true","4","5: Very true"
"361","4693","Female","American Diploma","5: Very true","3: Somewhat true","3: Somewhat true","5: Very true","5: Very true","2","1: Not at all true","2","2","1: Not at all true","3: Somewhat true","1: Not at all true","2","3: Somewhat true","5: Very true"
"362","4704","Female","American Diploma","3: Somewhat true","4","4","4","5: Very true","5: Very true","5: Very true","4","4","5: Very true","5: Very true","4","5: Very true","5: Very true","5: Very true"
"363","4736","Female","American Diploma","3: Somewhat true","5: Very true","3: Somewhat true","5: Very true","5: Very true","1: Not at all true","3: Somewhat true","1: Not at all true","1: Not at all true","4","5: Very true","3: Somewhat true","5: Very true","5: Very true","3: Somewhat true"
"364","4771","Female","American Diploma","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","1: Not at all true","3: Somewhat true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true","5: Very true","3: Somewhat true"
"365","4697","Female","American Diploma","2","2","3: Somewhat true","4","5: Very true","3: Somewhat true","3: Somewhat true","1: Not at all true","1: Not at all true","1: Not at all true","4","2","4","1: Not at all true","3: Somewhat true"
"366","4717","Female","American Diploma","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","4"
"367","4723","Female","American Diploma","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","3: Somewhat true","2","2","3: Somewhat true","2","3: Somewhat true","2","4"
"368","4726","Female","American Diploma","4","2","1: Not at all true","3: Somewhat true","2","5: Very true","4","4","5: Very true","4","5: Very true","4","4","4","3: Somewhat true"
"369","4714","Female","American Diploma","4","5: Very true","5: Very true","4","5: Very true","2","2","2","2","2","3: Somewhat true","3: Somewhat true","3: Somewhat true","2","4"
"370","4716","Female","American Diploma","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","3: Somewhat true","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","3: Somewhat true"
"371","4718","Female","American Diploma","5: Very true","3: Somewhat true","3: Somewhat true","5: Very true","5: Very true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true","1: Not at all true","3: Somewhat true","1: Not at all true","3: Somewhat true"
