"","ID","Gender.x","Certificate","PQ01","PQ02","PQ03","PQ04","PQ05","PQ06","PQ07","PQ08","PQ09","PQ10","PQ11","PQ12","PQ13","PQ14","PQ15","PQ16","PQ17","PQ18","PQ19","SQ07","SQ08","SQ09","SQ10","SQ11","SQ12","SQ13","SQ14","SQ15","SQ16","SQ17","SQ18","SQ19","SQ20","SQ21","SQ22","SQ23","SQ24","SQ25","SQ26","SQ27","SQ28","SQ29","SQ31","SQ32"
"104","4431","Female","IGCSE (British)",4,3,3,2,4,1,1,1,1,1,1,1,1,1,2,1,4,5,3,3,3,3,4,3,4,4,3,3,5,5,5,5,3,4,4,5,4,4,4,4,4,4,3,4
"105","4437","Female","IGCSE (British)",5,3,3,5,5,2,2,1,2,2,3,3,2,1,3,3,3,5,5,5,5,5,4,5,5,4,4,4,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5
"106","4426","Female","IGCSE (British)",5,5,4,5,5,2,1,1,1,1,2,1,2,1,4,4,4,5,4,4,4,4,5,4,5,4,3,4,4,4,5,4,4,4,4,4,4,4,5,5,4,4,5,5
"107","4440","Male","IGCSE (British)",2,3,4,2,5,1,1,1,1,1,3,2,4,1,5,2,5,3,3,4,5,3,4,3,5,2,2,1,5,2,2,3,3,1,5,3,3,1,4,4,4,3,4,4
"108","4432","Female","IGCSE (British)",4,5,3,4,3,2,1,3,1,2,3,2,3,3,3,2,4,3,2,3,4,3,4,3,4,3,3,1,3,3,4,4,3,2,4,4,3,4,4,3,4,4,4,3
"109","4449","Female","American Diploma",5,3,5,5,5,2,2,2,4,4,2,2,4,5,5,5,5,5,5,4,5,5,5,4,4,4,4,5,5,5,4,5,4,4,5,3,3,4,4,4,4,3,4,5
"110","4435","Female","IB",3,2,5,4,3,2,1,3,2,1,3,2,3,1,4,3,2,3,3,3,3,2,3,4,4,4,2,4,3,5,4,4,4,4,5,4,4,4,3,3,4,3,5,3
"111","4448","Female","IB",4,5,5,5,3,2,1,2,3,3,3,1,3,1,4,3,5,5,5,5,3,5,4,4,5,5,4,4,5,5,5,4,5,3,5,5,5,4,5,4,5,5,4,4
"112","4455","Female","American Diploma",2,2,3,4,5,1,1,1,1,1,1,1,1,4,4,2,4,5,4,4,4,4,4,4,4,4,3,1,4,3,2,4,3,4,1,1,2,2,4,4,1,3,4,4
"113","4451","Female","American Diploma",5,5,5,5,5,2,1,3,1,1,3,2,3,5,5,5,5,5,5,4,4,5,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"114","4447","Female","American Diploma",5,5,5,5,5,3,2,2,2,2,5,3,5,5,3,3,5,5,5,5,5,5,4,4,5,5,4,4,5,4,5,4,4,5,5,5,4,5,5,5,5,5,5,5
"115","4459","Female","American Diploma",4,4,3,5,5,1,1,1,1,1,2,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,4,3,4,4,3,4,4,4,4,5,4,4,5,5
"116","4457","Female","American Diploma",3,4,5,4,5,4,4,3,2,2,4,4,3,4,4,3,5,4,4,3,4,4,4,4,5,5,4,3,4,4,4,3,4,4,5,4,3,4,4,4,4,5,4,4
"117","4456","Female","American Diploma",4,4,4,5,4,2,3,2,2,2,3,2,3,3,4,4,4,5,3,4,4,4,4,4,4,4,5,5,5,4,4,3,4,3,4,5,5,4,4,5,4,4,5,5
"118","4454","Female","IB",5,1,3,3,3,1,3,3,1,1,4,1,1,3,3,5,3,5,3,4,5,4,5,3,3,4,4,2,3,3,3,3,2,2,4,4,5,5,5,4,3,5,4,5
"119","4458","Female","IB",4,5,3,5,3,4,3,2,2,2,5,1,5,4,5,4,5,5,5,5,4,5,5,5,5,5,5,4,4,4,5,4,4,5,5,5,5,4,5,5,5,5,5,5
"120","4460","Female","American Diploma",5,4,5,5,5,2,2,1,2,1,3,2,2,2,3,3,4,5,4,4,4,5,5,4,4,4,4,4,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5
"121","4450","Female","American Diploma",3,4,3,5,5,3,3,3,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,3,3,3,3,3,3,5,3,4,5,5,4,3,4,5
