"ID","Gender","Certificate","Age","Age_squared","Age-cubed","PostScore","PreScore","SS_ACC","FM_ACC","CB_ACC (2)","SE_P","PAV","PAp","MG_P","SE_S","TV","MG_S","FM_EFF_Z","SS_EFF_Z","CB_EFF_Z","Avg_EF","Avg-SALES","Avg_PG","Avg_RTc","Avg_EFF","Avg_ACC","FM_RTc_mean","CB_RTc_mean"
4885,"Female","IGCSE (British)",14.83,219.9289,3261.545587,16.0,14.0,91.67,96.88,68.97,0.65,0.34,0.76,0.34,0.64,0.36,0.84,-0.32,-0.85,0.55,-0.21,0.61,0.55,1.56,68.86,0.92,1.49,8.03
4906,"Female","IGCSE (British)",12.89,166.15210000000002,2141.7005690000005,13.0,12.0,99.07,100.0,68.97,0.75,1.38,1.13,0.6,0.93,0.39,0.61,-0.31,-0.77,0.81,-0.09,0.64,1.25,1.59,60.5,0.99,1.54,7.51
4919,"Female","IGCSE (British)",15.44,238.3936,3680.7971839999996,16.0,12.0,96.3,96.09,65.63,-0.67,0.67,0.49,-0.96,0.27,-0.35,-0.03,0.23,-0.06,-0.81,-0.22,-0.04,0.58,1.04,94.15,0.96,1.25,11.88
4249,"Female","IGCSE (British)",13.94,194.3236,2708.8709839999997,14.0,11.0,90.48,96.85,51.85,0.42,0.14,0.42,0.51,0.27,0.41,-0.16,1.39,-0.21,0.65,0.61,0.18,0.28,1.05,111.66,0.9,0.94,5.88
4295,"Male","IGCSE (British)",13.42,180.0964,2416.8936879999997,16.0,13.0,78.7,87.5,50.0,0.96,-0.42,-0.43,0.45,-1.53,-1.22,-1.27,0.54,1.35,-0.31,0.52,-1.34,-0.42,0.52,218.2,0.79,1.04,7.53
4315,"Male","IGCSE (British)",13.83,191.2689,2645.248887,12.0,11.0,92.59,92.19,65.52,1.18,-0.12,-0.21,1.02,0.77,0.35,0.65,-0.74,-0.22,-1.07,-0.67,0.59,-0.16,1.08,120.1,0.93,1.66,13.24
4723,"Female","American Diploma",13.88,192.6544,2674.0430720000004,15.0,11.0,92.59,95.31,75.0,0.57,-0.24,0.08,0.81,0.97,0.5,0.98,-0.61,-0.01,-0.0,-0.21,0.82,-0.08,0.98,106.8,0.93,1.63,10.21
4806,"Male","IB",15.04,226.20159999999998,3402.0720639999995,10.5,13.0,93.52,96.88,56.25,-0.85,-0.94,-0.61,-0.56,-0.41,-0.33,-0.69,0.44,-0.1,-0.4,-0.02,-0.48,-0.78,1.03,113.96,0.94,1.19,8.72
4912,"Female","IGCSE (British)",14.93,222.9049,3327.9701569999997,14.0,13.0,92.59,93.75,62.07,0.41,0.17,0.43,0.16,0.46,-0.58,-0.5,1.0,0.51,0.07,0.53,-0.2,0.3,0.79,137.93,0.93,1.0,8.26
4241,"Male","IGCSE (British)",12.78,163.3284,2087.3369519999997,15.0,11.0,89.81,93.75,57.69,0.58,-0.56,-0.98,0.77,1.24,1.23,1.0,-0.68,-1.07,1.19,-0.19,1.16,-0.77,1.82,111.48,0.9,1.65,5.75
