ID,FM_ACC_mean,FM_EFF_mean,FM_RTc_mean,Per ACC,EFF2
4884,0.95,85.37,1.46,94.53,64.84
4885,0.97,102.00,1.49,96.88,64.82
4886,0.99,64.23,1.71,99.22,58.11
4887,0.98,126.74,0.86,97.66,114.21
4888,0.99,51.85,3.23,99.22,30.69
4895,0.94,143.03,1.67,93.75,56.17
4896,0.98,99.37,1.23,98.44,80.30
4897,0.98,95.38,1.18,98.44,83.77
4898,0.96,108.95,1.09,95.70,87.43
4899,0.95,104.90,1.12,95.31,84.77
4900,1.00,70.33,1.53,100.00,65.16
4901,0.96,111.40,1.06,96.09,90.75
4902,0.99,86.44,2.14,99.22,46.41
4903,0.99,69.07,1.67,99.22,59.33
4904,0.96,102.51,1.07,96.09,89.96
4906,1.00,75.17,1.54,100.00,65.02
4907,0.93,70.11,1.89,92.97,49.21
4908,0.96,100.91,1.20,96.09,80.07
4909,0.99,117.46,0.98,99.22,101.65
4910,0.98,99.52,1.06,97.66,92.10
4911,0.96,129.09,0.99,96.09,96.98
4912,0.94,113.76,1.00,93.75,94.06
4913,0.91,104.37,1.09,91.41,83.50
4914,1.00,58.61,2.15,100.00,46.44
4917,0.97,89.31,1.23,96.88,78.90
4919,0.96,90.91,1.25,96.09,77.02
4921,0.80,94.89,2.05,80.47,39.32
4922,0.99,80.41,1.40,99.22,70.99
4924,0.95,93.39,1.18,95.31,80.89
4926,0.98,120.16,0.98,98.44,100.18
4928,0.99,72.39,1.98,99.22,50.24
4929,0.80,154.66,0.71,80.47,114.05
4930,0.98,80.73,1.52,97.66,64.26
4931,0.70,161.64,0.69,69.53,101.44
4932,1.00,50.21,2.60,99.61,38.32
4933,0.98,87.48,1.35,98.40,73.15
4934,0.95,101.78,1.15,95.31,83.11
4935,0.93,97.15,1.14,92.86,81.81
4937,0.94,90.58,1.20,93.75,78.39
4940,0.98,88.85,1.33,97.66,73.52
4941,0.98,78.97,1.42,98.44,69.54
4942,0.90,116.83,0.97,89.84,92.22
4943,0.97,85.48,1.24,96.88,78.13
4944,0.97,106.34,1.32,97.10,73.68
4945,0.85,112.79,1.20,85.16,71.17
4946,0.94,127.23,0.89,94.12,105.92
4947,0.98,44.59,4.73,98.44,20.82
4948,0.99,101.55,1.10,99.22,89.84
4950,0.98,72.64,1.93,98.44,51.04
4952,0.99,78.41,1.40,99.16,70.67
4954,1.00,86.91,1.24,100.00,80.59
4955,0.91,105.34,1.36,91.41,67.35
4956,0.92,121.01,0.96,92.19,95.94
4957,0.98,114.00,1.00,98.44,98.71
NA,0.89,154.73,1.45,89.21,61.69
