"","ID","Gender","Q01","Q02","Q03","Q04","Q05","Q06","Q07","Q08","Q09","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","score","Q01_imp","Q02_imp","Q03_imp","Q04_imp","Q05_imp","Q06_imp","Q07_imp","Q08_imp","Q09_imp","Q10_imp","Q11_imp","Q12_imp","Q13_imp","Q14_imp","Q15_imp","Q16_imp","Q17_imp","Q18_imp","Q19_imp"
"81","4294","Male",3,5,2,4,3,5,5,1,5,5,5,5,5,5,3,2,3,3,5,155,3,5,2,4,3,5,5,1,5,5,5,5,5,5,3,2,3,3,5
"82","4299","Male",4,3,4,5,4,5,5,3,5,4,5,4,4,4,4,4,5,5,5,164,4,3,4,5,4,5,5,3,5,4,5,4,4,4,4,4,5,5,5
"83","4309","Male",5,5,5,5,5,1,3,5,1,1,5,1,1,4,5,5,5,5,5,155,5,5,5,5,5,1,3,5,1,1,5,1,1,4,5,5,5,5,5
"84","4302","Female",4,5,4,5,4,4,4,5,2,2,3,3,5,4,5,4,5,2,2,156,4,5,4,5,4,4,4,5,2,2,3,3,5,4,5,4,5,2,2
"85","4278","Male",3,3,2,4,2,1,1,2,1,1,2,1,3,1,4,2,4,4,3,129,3,3,2,4,2,1,1,2,1,1,2,1,3,1,4,2,4,4,3
"86","4291","Male",3,4,4,3,3,4,2,1,1,3,5,1,1,3,4,2,5,5,5,145,3,4,4,3,3,4,2,1,1,3,5,1,1,3,4,2,5,5,5
"87","4282K","Male",4,5,3,3,4,5,3,4,3,5,5,5,5,3,3,2,3,4,5,161,4,5,3,3,4,5,3,4,3,5,5,5,5,3,3,2,3,4,5
"88","4293","Male",4,4,5,5,4,5,5,4,3,5,4,5,4,3,4,4,4,4,5,169,4,4,5,5,4,5,5,4,3,5,4,5,4,3,4,4,4,4,5
"89","4443","Male",3,3,3,5,5,4,4,3,3,3,5,2,5,5,3,3,5,5,5,163,3,3,3,5,5,4,4,3,3,3,5,2,5,5,3,3,5,5,5
"90","4327","Male",3,5,5,5,5,3,2,3,4,4,5,3,4,3,4,4,5,5,5,167,3,5,5,5,5,3,2,3,4,4,5,3,4,3,4,4,5,5,5
"91","4330","Male",3,3,5,5,5,1,3,3,5,1,3,2,4,5,3,4,5,4,5,160,3,3,5,5,5,1,3,3,5,1,3,2,4,5,3,4,5,4,5
"92","4337","Male",5,5,5,5,5,1,2,3,4,4,5,1,3,4,5,5,5,5,5,169,5,5,5,5,5,1,2,3,4,4,5,1,3,4,5,5,5,5,5
"93","4343","Female",4,5,4,5,5,1,1,1,1,1,3,2,4,2,5,5,5,5,5,157,4,5,4,5,5,1,1,1,1,1,3,2,4,2,5,5,5,5,5
"94","4328","Male",3,3,3,5,3,1,1,1,2,1,2,1,1,1,4,4,5,5,5,145,3,3,3,5,3,1,1,1,2,1,2,1,1,1,4,4,5,5,5
"95","4324","Male",5,5,5,5,5,5,5,3,2,2,2,3,4,5,4,4,5,5,5,174,5,5,5,5,5,5,5,3,2,2,2,3,4,5,4,4,5,5,5
"96","4348","Female",5,5,5,5,5,5,3,1,3,3,4,3,2,3,4,4,5,5,5,171,5,5,5,5,5,5,3,1,3,3,4,3,2,3,4,4,5,5,5
"97","4338","Female",4,5,4,5,4,3,4,3,4,4,5,3,5,4,5,4,4,5,4,176,4,5,4,5,4,3,4,3,4,4,5,3,5,4,5,4,4,5,4
"98","4332","Male",4,4,4,4,4,1,1,1,1,1,1,1,1,1,3,3,4,4,4,145,4,4,4,4,4,1,1,1,1,1,1,1,1,1,3,3,4,4,4
"99","4346","Female",3,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,3,165,3,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,3
"100","4347","Female",4,4,4,5,5,4,4,5,5,4,3,3,3,2,4,4,5,5,5,178,4,4,4,5,5,4,4,5,5,4,3,3,3,2,4,4,5,5,5
"101","4339","Female",3,5,3,5,4,3,4,2,2,1,3,2,3,3,4,4,5,4,5,166,3,5,3,5,4,3,4,2,2,1,3,2,3,3,4,4,5,4,5
"102","4353","Male",3,5,3,4,5,5,5,3,4,5,5,3,5,4,3,2,4,3,3,176,3,5,3,4,5,5,5,3,4,5,5,3,5,4,3,2,4,3,3
"103","4367","Female",5,5,5,5,5,5,3,1,1,1,1,1,1,3,5,5,5,5,5,170,5,5,5,5,5,5,3,1,1,1,1,1,1,3,5,5,5,5,5
"104","4365","Female",3,5,3,5,3,1,1,1,2,1,3,1,4,1,4,2,5,5,5,159,3,5,3,5,3,1,1,1,2,1,3,1,4,1,4,2,5,5,5
"105","4357","Male",4,5,5,4,5,5,5,3,5,5,5,5,5,5,3,2,5,5,5,191,4,5,5,4,5,5,5,3,5,5,5,5,5,5,3,2,5,5,5
"106","4373","Female",5,5,5,5,5,4,4,3,3,3,4,3,3,2,3,2,3,4,3,175,5,5,5,5,5,4,4,3,3,3,4,3,3,2,3,2,3,4,3
"107","4359","Male",4,3,3,5,5,2,2,3,2,2,3,2,3,1,4,3,5,5,4,168,4,3,3,5,5,2,2,3,2,2,3,2,3,1,4,3,5,5,4
"108","4352","Male",5,4,4,5,5,3,2,2,3,1,5,5,4,4,3,3,5,4,4,179,5,4,4,5,5,3,2,2,3,1,5,5,4,4,3,3,5,4,4
"109","4362","Male",3,4,4,5,4,2,2,2,1,1,3,2,4,4,4,4,3,3,3,167,3,4,4,5,4,2,2,2,1,1,3,2,4,4,4,4,3,3,3
"110","4363","Female",5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,203,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5
"111","4366","Female",5,5,5,3,5,1,3,1,1,3,3,1,3,1,3,3,5,5,5,172,5,5,5,3,5,1,3,1,1,3,3,1,3,1,3,3,5,5,5
"112","4356","Male",5,4,5,5,5,3,3,3,4,4,5,3,5,5,4,3,4,3,4,189,5,4,5,5,5,3,3,3,4,4,5,3,5,5,4,3,4,3,4
"113","4364","Female",3,4,3,5,4,2,1,1,1,2,3,2,4,3,5,4,4,4,4,172,3,4,3,5,4,2,1,1,1,2,3,2,4,3,5,4,4,4,4
"114","4355","Male",4,3,4,5,4,2,2,2,2,2,5,1,4,4,3,3,3,3,2,172,4,3,4,5,4,2,2,2,2,2,5,1,4,4,3,3,3,3,2
"115","4325","Male",4,4,3,3,5,1,1,1,1,2,4,3,2,3,5,5,5,5,5,177,4,4,3,3,5,1,1,1,1,2,4,3,2,3,5,5,5,5,5
"116","4342","Female",5,5,3,5,5,1,1,1,1,1,4,3,2,2,3,4,3,5,4,174,5,5,3,5,5,1,1,1,1,1,4,3,2,2,3,4,3,5,4
"117","4391","Male",4,4,3,3,3,1,1,2,2,2,5,3,4,5,4,3,3,3,3,175,4,4,3,3,3,1,1,2,2,2,5,3,4,5,4,3,3,3,3
"118","4393","Female",4,4,4,5,5,3,3,2,1,4,4,3,5,4,3,3,3,4,4,186,4,4,4,5,5,3,3,2,1,4,4,3,5,4,3,3,3,4,4
"119","4390","Male",4,5,5,3,5,2,2,1,1,1,5,3,1,3,4,5,5,4,5,183,4,5,5,3,5,2,2,1,1,1,5,3,1,3,4,5,5,4,5
