"","subject_id","FM_Per.ACC","FM_EFF2","SS_ACC","SS_EFF","CB_PerCorrect","CB_EFF"
"316","4777",96.09,89.73,78.7,118.1,51.6129032258064,6.60095961450396
"317","4779",87.5,132.03,84.26,206.24,65.625,9.66861003535949
"318","4780",96.09,84.42,90.74,128.91,78.125,2.48237474215077
"319","4781",97.66,42.19,91.67,62.96,64.5161290322581,9.92846047802559
"320","4782",96.88,93.62,91.67,135.06,71.875,10.4010029004838
"321","4783",94.53,77.98,87.96,118.37,53.5714285714286,9.23793976699042
"322","4784",96.88,92.66,89.81,210.7,68.75,6.16727693825791
"323","4785",93.75,74.49,90.74,128.42,62.5,7.25963353369922
"324","4786",100,72.42,97.22,89.08,68.75,8.63920399373979
"325","4789",95.31,125.9,94.44,91.04,58.0645161290323,11.1019660759553
"326","4790",75.59,41.38,82.41,48.84,65.625,10.6095307748566
"327","4791",91.41,91.13,71.3,146.63,64.2857142857143,8.7738776748141
"328","4793",90.63,76.4,77.78,112.57,62.5,8.52712649480527
"329","4795",91.34,100.86,91.92,129.09,71.4285714285714,12.3517939127889
"330","4796",97.66,131.31,75,184.32,78.125,5.27850222288286
"331","4799",96.09,63.43,76.85,56.47,47.3684210526316,5.62741118937767
"332","4800",96.88,89.65,87.04,117.01,62.0689655172414,9.31321640264369
"333","4801",97.66,48.96,90.74,69.04,62.0689655172414,8.57371943297018
"334","4802",95.31,102.03,87.96,167.57,67.8571428571429,10.4177969447285
"335","4803",98.44,83.87,89.72,117.27,68.75,8.68913298251258
"336","4805",96.09,110.51,80.56,182.77,67.741935483871,11.6256202307936
"337","4806",96.88,81.72,93.52,90.93,56.25,6.44937321646963
"338","4807",94.53,97.85,85.19,231.16,65.5172413793103,10.7427559305369
"339","4808",100,46.04,98.15,55.16,71.875,10.8668143512615
"340","4809",96.09,112.46,84.26,126.81,67.741935483871,8.50805390517745
"341","4810",96.88,87.96,93.52,97.64,75,6.19484863919825
"342","4812",97.64,90.04,75.93,165.83,59.375,6.53803579293878
"343","4813",97.66,75.49,97.22,71.3,75,8.15453754711511
"344","4815",82.03,89.26,56.48,29.54,55.1724137931034,8.35028397489174
"345","4816",70.31,104.35,74.07,130.46,37.5,5.61676208227932
"346","4817",47.24,37.68,74.07,134.71,NA,NA
"347","4818",75.78,57.68,35.19,52.58,NA,NA
"348","4819",73.44,66.47,16.83,30.76,8.33333333333333,1.80570603105814
"349","4821",50.78,78.84,30.84,105.29,43.4782608695652,12.2674400060846
"350","4822",98.44,53.83,90.74,118.67,65.625,7.23516348516348
"351","4823",47.66,62.26,87.96,135.71,8.33333333333333,2.73224043715847
"352","4824I ",92.19,88.83,87.96,199.2,NA,NA
"353","4825",96.88,52.28,99.07,60.04,70.9677419354839,7.63930364906175
"354","4826",97.66,82.06,92.59,87.16,62.5,5.40750994981831
"355","4827",95.31,59.1,91.67,93.02,60,7.42671278563619
"356","4828",86.72,80.51,88.89,110.85,61.2903225806452,10.4398774398876
"357","4830",98.44,62.41,88.89,84.4,68.75,8.42994092074462
"358","4833",75,120.85,80.56,157.67,64.5161290322581,9.18176473977387
"359","4834",94.53,83.89,87.74,73.34,62.5,8.73863104101564
"360","4835",95.31,99.92,86.11,134.67,68.75,7.27719747306836
"361","4836",96.09,109.75,91.67,114.75,59.375,8.41702168933589
"362","4837",89.84,82.18,90.74,139.34,65.625,8.79528875670915
"363","4838",87.5,105.05,83.33,138.61,74.1935483870968,7.16824799482152
"364","4839",96.09,93.86,84.26,132.99,78.125,7.52733446126927
"365","4841",97.66,109.75,95.37,104.68,75,11.0073661993486
"366","4842",100,81.58,96.3,95.72,59.375,7.041495278102
"367","4845",98.44,79.04,91.67,103.88,NA,NA
"368","4846",90.63,87.8,74.07,141.52,60,10.512176604567
"369","4847",85.16,102,79.63,147.88,65.625,8.95537663755458
"370","4848",98.44,90.82,91.67,108.11,62.5,6.33983546858992
"371","4849",85.71,70.62,76.85,156.57,65.625,10.3801830301661
"372","4850",87.5,106.97,93.52,35.72,71.875,9.36683721747211
"373","4851",92.97,105.68,81.48,168.22,65.625,8.54259130693511
"374","4854",96.88,69.83,96.3,74.86,56.25,7.02554174733029
"375","4855",93.75,77.93,70.37,114.56,75,8.61342929331598
"376","4856",99.22,99.22,91.67,94.62,53.8461538461538,8.95314853912937
"377","4857",93.75,76.99,62.96,40.12,50,6.66344600109947
"378","4858",87.5,34.62,85.19,75.87,47.8260869565217,8.26855727342616
"379","4859",97.66,90.75,96.3,96.23,72.4137931034483,9.51495520095866
"380","4860",88.28,24.35,90.74,65.02,53.3333333333333,6.89579006629117
"381","4861",88.28,71.72,64.81,129.83,45.1612903225806,4.23916045590008
"382","4862",97.66,73.24,90.74,97.24,68.75,6.52575353577192
"383","4863",95.31,80.67,86.11,67.7,65.625,8.03182716236457
"384","4864",90.63,61.02,80.56,57.75,53.125,6.34569037598106
"385","4866",89.84,85.85,54.63,208.96,56.25,5.11415294474189
"386","4869",98.44,60.28,97.22,44.66,71.875,7.09931417135839
"387","4870",97.66,65.95,87.04,138.41,46.6666666666667,5.70113819151752
"388","4871",94.53,56.8,79.63,45.97,52.6315789473684,5.83039724245532
"389","4873",55.47,94.22,68.52,177.75,48.1481481481481,7.83886994108788
