,ID,Gender,Certificate ,Age,FM_Per.ACC,PostScore,PreScore,FM_EFF2,SS_ACC,CB_PerCorrect,CB_EFF,SE_P,PAV,PAp,MG_P,SE_S.x,TV.x,MG_S.x,FM_EFF_Z,SS_EFF_Z,CB_EFF_Z,Avg_EF,Avg-SALES,Avg_PG,SelfEfficacy_P,PerfAvGoals,PerfAppGoals,MasteryGoals_P,Average.of.RTc,Average.of.EFF,Average.of.ACC,Per.Correct,Eff2,FM_ACC_mean,FM_EFF_mean,FM_RTc_mean,Per.ACC,FM_EFF,CB_ACC,CB_RTc_mean,CB_PerCorrect
82,4344,Female,American Diploma,15.48,90.63,13.50,13.00,96.41,87.96,71.88,10.61,0.90,-0.30,-0.72,0.21,0.80,-0.22,-0.00,1.10,2.72,1.45,1.76,0.19,-0.51,0.78,-0.45,-1.20,0.30,0.42,244.04,0.88,87.96,211.19,0.91,125.30,0.94,90.63,96.41,0.72,6.78,71.88
85,4352,Male,IGCSE (British),14.72,98.44,1.00,15.00,71.03,87.74,65.63,8.19,-0.21,0.57,0.09,0.11,1.50,1.80,1.79,-0.04,0.55,0.37,0.29,1.70,0.33,-0.04,0.88,-0.01,0.27,0.74,167.16,0.88,87.74,118.57,0.98,82.26,1.39,98.44,71.03,0.66,8.01,65.63
94,4373,Female,IGCSE (British),14.60,97.66,14.00,13.00,130.97,75.93,68.75,9.56,-0.69,0.05,0.50,0.42,-0.27,0.34,0.61,2.67,-1.25,0.98,0.80,0.23,0.27,-0.70,0.08,0.74,0.45,1.83,192.71,0.76,75.93,41.57,0.98,147.95,0.75,97.66,130.97,0.69,7.19,68.75
124,4448,Female,IB,14.39,99.22,16.00,15.00,85.58,94.44,70.00,7.79,0.28,-0.51,-0.01,0.15,0.26,0.54,0.10,0.62,1.07,0.20,0.63,0.30,-0.26,0.43,-0.74,-0.15,0.26,0.67,155.13,0.94,94.44,140.74,0.99,94.83,1.16,99.22,85.58,0.70,8.98,70.00
144,4494,Female,IGCSE (British),12.46,99.22,2.00,13.00,65.29,92.59,68.75,3.85,0.65,0.73,1.25,0.31,0.32,-0.23,-0.00,-0.30,-0.36,-1.56,-0.74,0.03,0.99,0.67,1.03,2.17,0.46,1.16,87.88,0.93,92.59,79.61,0.99,91.89,1.52,99.22,65.29,0.69,17.87,68.75
163,4546,Male,IGCSE (British),12.73,80.47,10.50,15.00,89.19,78.70,65.63,8.03,-0.04,-0.29,-0.62,-0.16,-0.34,0.16,-0.19,0.78,0.30,0.30,0.46,-0.12,-0.46,0.11,-0.43,-1.08,-0.02,0.73,219.09,0.79,78.70,107.86,0.80,128.39,0.90,80.47,89.19,0.66,8.17,65.63
175,4668,Male,IGCSE (British),13.41,96.09,15.00,15.00,54.07,90.65,50.00,6.13,-0.30,0.50,0.35,-0.32,-0.29,-0.19,-0.54,-0.81,0.40,-0.54,-0.32,-0.34,0.42,0.45,-0.44,-0.94,0.34,0.81,139.11,0.91,90.65,111.97,0.96,76.36,1.78,96.09,54.07,0.50,8.16,50.00
176,4668,Male,IGCSE (British),13.41,96.09,15.00,15.00,54.07,90.65,50.00,6.13,-0.30,0.50,0.35,-0.32,-0.29,-0.19,-0.54,-0.81,0.40,-0.54,-0.32,-0.34,0.42,-0.15,0.66,0.41,-0.22,0.81,139.11,0.91,90.65,111.97,0.96,76.36,1.78,96.09,54.07,0.50,8.16,50.00
186,4725,Female,American Diploma,13.37,98.44,12.50,13.00,70.04,92.59,65.63,7.39,0.75,-0.70,-1.04,0.56,1.12,1.15,1.30,-0.09,0.55,0.02,0.16,1.19,-0.87,0.73,-0.88,-1.39,0.61,0.78,126.58,0.93,92.59,118.56,0.98,80.90,1.41,98.44,70.04,0.66,8.88,65.63
213,4785,Male,IB,15.02,93.75,14.00,15.00,74.49,90.74,62.50,7.26,0.23,-0.71,-1.02,0.65,0.02,0.55,0.46,0.11,0.78,-0.04,0.29,0.35,-0.87,0.38,-0.96,-1.40,0.67,0.71,156.21,0.91,90.74,128.42,0.94,94.21,1.26,93.75,74.49,0.63,8.61,62.50
